event_id,event_date,activity_type,event_start_time,event_end_time,capacity,estimated_cost,partner_flag,event_theme
E0001,2025-10-01,Family Workshop,10:15,11:54,42,10500,0,Family
E0002,2025-10-03,Art Exhibition,12:00,15:03,217,22400,0,Lifestyle
E0003,2025-10-05,New Model Launch,17:00,19:46,285,71100,1,Product
E0004,2025-10-07,Tech Talk,19:30,20:54,123,12900,0,Product
E0005,2025-10-09,Tech Talk,18:30,20:24,46,12500,0,Product
E0006,2025-10-11,Movie Night,14:15,15:57,62,11100,0,Lifestyle
E0007,2025-10-13,Tech Talk,19:15,21:01,59,15400,0,Product
E0008,2025-10-15,Family Workshop,14:00,15:45,54,7100,0,Family
E0009,2025-10-17,Art Exhibition,13:00,16:49,132,34000,1,Lifestyle
E0010,2025-10-19,Art Exhibition,14:00,17:23,147,30100,1,Lifestyle
E0011,2025-10-21,Art Exhibition,17:00,19:19,197,28800,0,Lifestyle
E0012,2025-10-23,Family Workshop,15:15,16:41,61,9300,0,Family
E0013,2025-10-25,Coffee Tasting,11:15,12:29,20,4900,1,Lifestyle
E0014,2025-10-27,Coffee Tasting,15:15,16:35,38,4700,0,Lifestyle
E0015,2025-10-29,Movie Night,19:00,20:30,81,25000,1,Lifestyle
E0016,2025-10-31,New Model Launch,18:15,20:44,291,42200,0,Product
E0017,2025-11-02,Family Workshop,15:30,17:04,48,10400,0,Family
E0018,2025-11-04,Tech Talk,19:00,20:21,84,16200,1,Product
E0019,2025-11-06,Movie Night,19:45,20:47,51,15100,1,Lifestyle
E0020,2025-11-08,Coffee Tasting,17:00,18:04,38,5600,0,Lifestyle
E0021,2025-11-10,Owner Salon,19:30,20:54,66,9500,0,Community
E0022,2025-11-12,Owner Salon,18:00,19:06,38,12200,0,Community
E0023,2025-11-14,Art Exhibition,16:00,19:48,150,28200,1,Lifestyle
E0024,2025-11-16,Movie Night,16:00,17:10,64,11500,0,Lifestyle
E0025,2025-11-18,Owner Salon,19:00,20:58,37,8300,1,Community
E0026,2025-11-20,Tech Talk,18:45,20:15,110,30100,1,Product
E0027,2025-11-22,Art Exhibition,12:15,14:46,181,24500,1,Lifestyle
E0028,2025-11-24,Owner Salon,18:00,19:27,112,8000,0,Community
E0029,2025-11-26,Art Exhibition,16:00,19:37,161,15000,1,Lifestyle
E0030,2025-11-28,Movie Night,18:15,19:45,95,13800,0,Lifestyle
E0031,2025-11-30,Family Workshop,10:30,11:35,53,10000,1,Family
E0032,2025-12-02,Tech Talk,19:00,20:10,89,20000,1,Product
E0033,2025-12-04,Art Exhibition,15:00,17:21,162,18100,1,Lifestyle
E0034,2025-12-06,Coffee Tasting,17:30,18:35,27,4300,0,Lifestyle
E0035,2025-12-08,Tech Talk,18:45,20:10,88,20500,0,Product
E0036,2025-12-10,Owner Salon,18:00,19:40,74,8800,0,Community
E0037,2025-12-12,Tech Talk,19:00,20:49,66,13900,1,Product
E0038,2025-12-14,Owner Salon,19:00,20:17,31,10400,0,Community
E0039,2025-12-16,Owner Salon,19:00,20:18,80,12400,1,Community
E0040,2025-12-18,Tech Talk,18:00,19:14,106,17100,0,Product
E0041,2025-12-20,Art Exhibition,13:00,16:14,209,20100,1,Lifestyle
E0042,2025-12-22,Art Exhibition,11:30,14:36,132,26700,0,Lifestyle
E0043,2025-12-24,Family Workshop,16:00,17:12,68,9900,1,Family
E0044,2025-12-26,Owner Salon,19:00,21:00,115,14600,1,Community
E0045,2025-12-28,Owner Salon,15:00,16:59,120,26400,0,Community
E0046,2025-12-30,Family Workshop,16:45,17:58,65,14100,0,Family
E0047,2026-01-01,Movie Night,18:15,19:35,90,15600,0,Lifestyle
E0048,2026-01-03,Tech Talk,18:15,19:38,66,8600,0,Product
E0049,2026-01-05,Family Workshop,10:00,11:04,62,8800,1,Family
E0050,2026-01-07,Movie Night,18:30,20:13,109,12200,1,Lifestyle
E0051,2026-01-09,Tech Talk,19:15,20:34,138,17300,0,Product
E0052,2026-01-11,Tech Talk,19:00,20:10,63,19900,1,Product
E0053,2026-01-13,Movie Night,19:00,20:18,76,8200,0,Lifestyle
E0054,2026-01-15,Tech Talk,18:00,19:52,121,10800,0,Product
E0055,2026-01-17,Art Exhibition,16:00,18:52,97,15000,0,Lifestyle
E0056,2026-01-19,Tech Talk,19:00,20:08,89,24500,0,Product
E0057,2026-01-21,Owner Salon,19:00,20:58,114,18600,1,Community
E0058,2026-01-23,Movie Night,18:30,20:21,39,12900,1,Lifestyle
E0059,2026-01-25,Tech Talk,14:45,15:55,100,14500,0,Product
E0060,2026-01-27,Tech Talk,18:00,19:38,119,30100,1,Product
E0061,2026-01-29,Coffee Tasting,11:15,12:11,43,6100,1,Lifestyle
E0062,2026-01-31,Art Exhibition,16:30,20:22,202,20000,0,Lifestyle
E0063,2026-02-02,Owner Salon,18:00,19:56,68,6500,0,Community
E0064,2026-02-04,Family Workshop,11:00,12:32,32,5400,1,Family
E0065,2026-02-06,Owner Salon,19:15,21:13,39,10500,1,Community
E0066,2026-02-08,Owner Salon,16:00,17:11,105,13100,0,Community
E0067,2026-02-10,Owner Salon,19:45,21:21,45,10200,0,Community
E0068,2026-02-12,Coffee Tasting,14:00,15:09,15,4900,1,Lifestyle
E0069,2026-02-14,Art Exhibition,16:00,18:51,163,23000,0,Lifestyle
E0070,2026-02-16,Family Workshop,16:00,18:00,45,6000,0,Family
E0071,2026-02-18,Art Exhibition,14:00,16:59,105,43800,1,Lifestyle
E0072,2026-02-20,Owner Salon,19:30,21:27,67,9400,1,Community
E0073,2026-02-22,Owner Salon,14:45,15:51,34,5500,0,Community
E0074,2026-02-24,New Model Launch,19:45,22:00,421,46900,0,Product
E0075,2026-02-26,Art Exhibition,15:15,18:30,170,21400,0,Lifestyle
E0076,2026-02-28,Coffee Tasting,16:30,17:29,33,2000,0,Lifestyle
